spot	Activated neural stem cell	Astrocyte	Basket cell	Bergmann glial cell	CCK basket cell	Cajal-Retzius cell	Chandelier cell	Dorsal otocyst	Early intermediate precursor cell	Early neuroblast	Endothelial cell	Ependymal cell	Immature olfactory sensory neuron	Interneuron-selective cell	Late activated neural stem cell	Late neuroblast	Long-projecting GABAergic cell	Macrophage	Martinotti cell	Mature olfactory sensory neuron	Microglial cell	Mural cell	Neural stem cell	Neuroblast	Neuron	O cell	Olfactory ensheathing glia	Olfactory sensory neuron	Oligodendrocyte	Oligodendrocyte precursor cell	Precursor cell	Progenitor cell	Quiescent neural stem cell	Smooth muscle cell	Type I spiral ganglion neuron	Type IA spiral ganglion neuron	Type IB spiral ganglion neuron	Type IC spiral ganglion neuron	Type II spiral ganglion neuron	Ventral otocyst
13x45	0.012619825	0.0022143563	0.0042893635	0.0033471594	0.0066314978	0.0072478205	0.042115353	0.00795058	0.15575995	0.009753645	0.009105939	0.0035889423	0.0124621345	0.083974145	0.0087571	0.00781705	0.010299344	0.0052598994	0.0076751406	0.05737213	0.003786778	0.002516952	0.0036526767	0.0048548686	0.024941595	0.16928077	0.0038338094	0.038979527	0.17125227	0.009739577	0.0064914254	0.0127924215	0.002655843	0.002210649	0.021133026	0.022806745	0.003276616	0.02047453	0.011525327	0.0055532027
20x94	0.0024342097	0.0025985835	0.0047205626	0.004703704	0.001613404	0.03176781	0.10577227	0.066935845	0.007939625	0.0042755213	0.018693697	0.00541034	0.0019508976	0.0070441263	0.0034214691	0.0071396437	0.033482224	0.0023166223	0.10709866	0.0040156767	0.003076566	0.0057746572	0.0032709606	0.021626795	0.07072108	0.003978298	0.0031867626	0.0018908367	0.0080899	0.003061678	0.0050295866	0.010214657	0.0054704626	0.006086328	0.021489171	0.0062667383	0.023183778	0.0094981035	0.007294072	0.35745472
47x49	0.031244965	0.07470461	0.12117263	0.042602323	0.036709554	0.010629838	0.01478274	0.019351123	0.0074588633	0.039264735	0.0100438595	0.024580132	0.009051293	0.008964554	0.005854484	0.010306173	0.005417126	0.01539922	0.008675	0.008991192	0.010286048	0.032253098	0.01541104	0.046911683	0.007292259	0.0726299	0.018393232	0.028782735	0.02330791	0.011292035	0.0059472024	0.01183093	0.109211385	0.009138936	0.012243914	0.008522376	0.051575407	0.003228777	0.0022455545	0.01429119
34x102	0.023393806	0.0057567307	0.00390336	0.008964531	0.04261224	0.015144128	0.011463591	0.012078495	0.023472428	0.010484611	0.14468065	0.0124675175	0.0019922922	0.023073277	0.0022932007	0.005691594	0.0051226085	0.07000367	0.06100929	0.0017419102	0.011011298	0.12916803	0.042460687	0.010002414	0.011920458	0.0031946024	0.017174022	0.046580438	0.003842222	0.002123343	0.056590546	0.0066512832	0.020555304	0.08209504	0.0032422384	0.004024183	0.007866713	0.012602944	0.033734433	0.00980989
64x42	0.009317366	0.013971675	0.010996484	0.013591109	0.010590251	0.013305988	0.009797294	0.012435271	0.26583353	0.017357888	0.0024302974	0.007310642	0.023503551	0.031100657	0.01158276	0.092587456	0.016929112	0.004277303	0.010091543	0.006244394	0.025468048	0.005502515	0.0054115625	0.005335324	0.024388919	0.08439002	0.013949481	0.08943812	0.07685704	0.013882176	0.012023309	0.0054822797	0.0048629064	0.00616492	0.0060056	0.006911888	0.0026689977	0.014044863	0.008961055	0.0049964003
17x65	0.013044552	0.004701443	0.007998148	0.0018063236	0.009915948	0.0041490523	0.042412635	0.0066820183	0.008761386	0.0066334363	0.0045823054	0.0070239305	0.01001321	0.02445372	0.0034182675	0.029025212	0.06084858	0.011557585	0.0038279386	0.028190909	0.034220815	0.0045944243	0.01037065	0.0048838505	0.018058216	0.09213557	0.003760966	0.003993032	0.10819573	0.04234754	0.0091303075	0.30514944	0.0036013746	0.0033232456	0.0100709135	0.02247267	0.007478814	0.011568342	0.0042605787	0.0113369245
54x62	0.009522856	0.004234752	0.01991368	0.0073717	0.01456267	0.017820084	0.0059499526	0.32312456	0.0070938887	0.0033666128	0.0029290854	0.0113288015	0.0765381	0.03875621	0.010478345	0.0147924	0.021252347	0.0025876798	0.0037252177	0.009758719	0.012149816	0.0063890433	0.011337947	0.14057387	0.050087016	0.008801249	0.0035619114	0.012563972	0.0058449055	0.034451853	0.0038379966	0.01434696	0.0037525466	0.0038723173	0.014897948	0.003809066	0.008814379	0.014586125	0.034458827	0.006754652
39x41	0.007889812	0.027271034	0.012669262	0.04650761	0.020117918	0.0120548485	0.046315458	0.031441428	0.30430654	0.007905983	0.0057175183	0.015260488	0.0073443716	0.020534713	0.0053249034	0.024990134	0.0026707435	0.03079411	0.0068397536	0.0046575526	0.00673288	0.00915973	0.01566626	0.0057436638	0.0072779474	0.058132403	0.011320169	0.024104478	0.040960167	0.036548775	0.010306365	0.009054719	0.03056802	0.02172534	0.01275795	0.01643378	0.008686485	0.002352075	0.006750908	0.025103746
35x95	0.011465564	0.007754617	0.0074892356	0.0076548005	0.049207706	0.015803516	0.04069233	0.018515961	0.009451838	0.057497986	0.006451356	0.023643628	0.06810979	0.052524835	0.013639728	0.010511795	0.057524458	0.018277116	0.050291386	0.002239161	0.012389921	0.004817102	0.03577924	0.03264352	0.097502425	0.007579535	0.025002874	0.044620812	0.0050612567	0.008866092	0.0076948795	0.008160349	0.008524243	0.0051095164	0.03247672	0.016832322	0.004469147	0.06798482	0.042004675	0.0037338145
23x23	0.011300074	0.0040183635	0.007374755	0.014836827	0.017247755	0.003466478	0.005897367	0.0059859226	0.0106747225	0.04880191	0.07987933	0.010743758	0.0059427577	0.05728285	0.0033268558	0.010517659	0.04648971	0.004128467	0.034234855	0.0062877773	0.0063501024	0.07821699	0.011531177	0.016986577	0.03744967	0.033274103	0.07640439	0.0042091273	0.024271578	0.08685089	0.007485333	0.00979679	0.033557586	0.08449247	0.0057484955	0.053983834	0.0047128075	0.0066454024	0.0066495975	0.022944894
