cell_type,cell_name,marker_gene,species,tissue_class,tissue_type,source
Cajal-Retzius cell,Cajal-Retzius cell,Ccdc148,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Cdh4,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Cdyl,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Cep112,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Clstn2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Cntnap2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Cobll1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Dach1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Diablo,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Dscaml1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Dync1i1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Ebf3,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Emx2os,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Epha3,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Fam65b,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Fat3,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Fmn1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Fndc3b,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Frmd4b,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Gfra1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Gpc1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Kcnb2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Kcnc2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Kcnh7,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Maml3,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Msi2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Ndnf,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Nrg1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Pdzd2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Plekha7,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Pou6f2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Rbms1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Reln,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Robo2,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Slc22a15,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Slc2a13,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Smad1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Thsd7b,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Tmem163,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Tmem200a,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Trp73,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Utrn,Mouse,Brain,Brain,Single-cell sequencing
Excitatory neuron,Excitatory neuron,Fezf2,Mouse,Brain,Auditory cortex,Experiment
Excitatory neuron,Excitatory neuron,Foxp2,Mouse,Brain,Auditory cortex,Experiment
Excitatory neuron,Excitatory neuron,Slc17a7,Mouse,Brain,Auditory cortex,Experiment
Glial cell,Glial cell,Egfr,Mouse,Brain,Brain,Experiment
Glial cell,Glial cell,HES1,Mouse,Brain,Brain,Experiment
Glial cell,Glial cell,Mki67,Mouse,Brain,Brain,Experiment
Glial cell,Glial cell,Plp1,Mouse,Brain,Brain,Experiment
Glial cell,Glial cell,S100,Mouse,Brain,Brain,Experiment
Glial cell,Glial cell,Sox10,Mouse,Brain,Brain,Experiment
Glial cell,Glial cell,Tnc,Mouse,Brain,Brain,Experiment
Hippocampal granule cell,Hippocampal granule cell,Prox1,Mouse,Brain,Brain,Experiment
Inhibitory neuron,Inhibitory neuron,Gad2,Mouse,Brain,Auditory cortex,Experiment
Lymphoid progenitor cell,Lymphoid progenitor cell,DNTT,Mouse,Brain,Brain,Experiment
Lymphoid progenitor cell,Lymphoid progenitor cell,FLT3,Mouse,Brain,Brain,Experiment
Lymphoid progenitor cell,Lymphoid progenitor cell,RAG2,Mouse,Brain,Brain,Experiment
Monocyte-derived dendritic cell,Monocyte-derived dendritic cell,CD1C,Mouse,Brain,Brain,Experiment
Monocyte-derived dendritic cell,Monocyte-derived dendritic cell,CST3,Mouse,Brain,Brain,Experiment
Monocyte-derived dendritic cell,Monocyte-derived dendritic cell,FCER1A,Mouse,Brain,Brain,Experiment
O cell,O cell,Aspa,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Cldn11,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Gal3st1,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Kcna1,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Kcna6,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Mag,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Mobp,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Mog,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Olig1,Mouse,Brain,Brain,Single-cell sequencing
O cell,O cell,Sox10,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,0610040J01Rik,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Adam12,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Adamtsl1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Afap1l2,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Apcdd1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Atp1a2,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Bcar3,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Bmp7,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Bnc2,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Col23a1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Col27a1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Col5a2,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Cpne8,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Fabp7,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Fat1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Foxo1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Frzb,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Gm10863,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Grin3a,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Gsap,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Igf1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Lama4,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Lamc1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Lef1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Lhfp,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Lrig1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Mxi1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Mybpc1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Notch2,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Pde4b,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Phldb2,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Plce1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Plp1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Prima1,Mouse,Brain,Brain,Single-cell sequencing
