cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Quiescent neural stem cell,Aldoc,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Aldoc,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Alkbh1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Alkbh2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Alpk2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Amer2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Amigo3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Amph,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Angel1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Angpt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ank1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ank3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ankdd1b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Ankrd16,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ankrd33b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ankrd34a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ankrd34b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ankrd55,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ankrd9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Anks1b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Ano1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory sensory neuron,Ano2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ano2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Ano3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ano4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Antxr1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Antxr2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Anxa5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Aoah,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ap5s1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Apaf1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Apba2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Apbb1ip,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Apbb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Apc,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Apcdd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Apcdd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Apex2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Aph1a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Apobec1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Apod,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Apoe,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neural stem cell,Apoe,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Apoo,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Aptx,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Aqp4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Aqp4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Arc,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Arf3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Arfgef1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Arhgap15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Arhgap19,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Arhgap20,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Arhgap22,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arhgap27,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arhgap27os3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Arhgap29,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Arhgap31,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
